Kecamatan,Bawang Merah Shallot - 2024,Bawang Merah Shallot - 2025,Kolom_Kosong,Cabai Besar/TW/Teropong Chili/Big Chili - 2024,Cabai Besar/TW/Teropong Chili/Big Chili - 2025
satuan,ha,ha,ha,ha,ha
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Cipatujah,0,0,,"18,00","17,00"
Karangnunggal,0,0,,"10,00","7,00"
Cikalong,"1,00",0,,"6,00","3,00"
Pancatengah,"1,00","1,00",,"3,00","1,00"
Cikatomas,0,0,,0,"2,00"
Cibalong,0,0,,"2,00",0
Parungponteng,0,0,,"5,00","8,00"
Bantarkalong,0,0,,"1,30","1,30"
Bojongasih,0,0,,"6,00","4,00"
Culamega,0,0,,"1,00",0
Bojonggambir,0,0,,"85,00","82,00"
Sodonghilir,0,0,,"43,00","47,00"
Taraju,0,0,,"91,00","132,00"
Salawu,0,0,,"95,00","59,00"
Puspahiang,0,0,,"7,00","1,0"
Tanjungjaya,0,0,,"13,00","9,00"
Sukaraja,0,0,,"4,00","3,00"
Salopa,0,0,,"10,00","10,50"
Jatiwaras,0,"1,00",,"9,00","7,00"
Cineam,"2,00",0,,0,0
Karangjaya,"0,30","0,10",,"1,00",0
Manonjaya,"1,50","0,50",,0,0
Gunungtanjung,0,0,,"1,50","2,00"
Singaparna,0,0,,"11,50","12,00"
Sukarame,0,0,,0,0
Mangunreja,0,0,,"13,00","14,00"
Cigalontang,0,0,,"40,00","39,00"
Leuwisari,0,0,,"3,00","3,00"
Sariwangi,"0,50","5,50",,"3,00","7,00"
Padakembang,0,0,,"7,00","6,00"
Sukaratu,0,0,,"21,00","21,00"
Cisayong,0,0,,"1,0","16,00"
Sukahening,0,0,,"39,00","34,00"
Rajapolah,0,0,,"5,00","5,50"
Jamanis,0,0,,0,0
Ciawi,0,0,,"26,00","24,00"
Kadipaten,0,0,,"58,00","37,00"
Pagerageung,0,0,,"8,00","5,50"
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,"6,30","8,10",,"647,30","619,80"
