Kecamatan,Cabai Keriting Curly Chili - 2024,Cabai Keriting Curly Chili - 2025,Kolom_Kosong,Cabai Rawit Chili/Cayenne Pepper - 2024,Cabai Rawit Chili/Cayenne Pepper - 2025
satuan,ha,ha,ha,ha,ha
tahun,2024,2025,2026,2024,2025
(1),(6),(7),,(8),(9)
Cipatujah,0,0,,"17,00","15,00"
Karangnunggal,"2,00","2,00",,"8,00","5,00"
Cikalong,0,0,,"7,00","5,00"
Pancatengah,0,0,,"1,00","4,00"
Cikatomas,"3,00","2,00",,"3,00","2,00"
Cibalong,"1,00","3,00",,"5,00","5,00"
Parungponteng,"4,00","8,00",,"6,00","10,00"
Bantarkalong,0,"1,80",,"4,20","5,00"
Bojongasih,0,0,,"8,00","1,0"
Culamega,0,0,,0,"0,50"
Bojonggambir,0,0,,"16,00","36,00"
Sodonghilir,0,0,,"31,00","32,00"
Taraju,"35,00","72,00",,"51,00","85,00"
Salawu,"42,00","3,0",,"34,00","28,00"
Puspahiang,0,0,,"6,00","1,0"
Tanjungjaya,"13,00","2,00",,"12,00","6,00"
Sukaraja,"2,00","3,00",,0,"1,00"
Salopa,0,0,,"10,50","1,0"
Jatiwaras,0,0,,"7,00","7,00"
Cineam,0,0,,"2,00","4,00"
Karangjaya,0,0,,"4,00","1,80"
Manonjaya,0,0,,"2,00","2,00"
Gunungtanjung,0,0,,"2,00","2,00"
Singaparna,"7,50","9,50",,"1,0","10,00"
Sukarame,0,0,,0,"1,00"
Mangunreja,0,0,,"13,00","17,00"
Cigalontang,"28,00","32,00",,"16,00","3,0"
Leuwisari,"1,50","1,50",,"3,50","2,50"
Sariwangi,"6,00","9,00",,"4,50","6,50"
Padakembang,0,0,,0,"1,50"
Sukaratu,0,0,,"2,0","25,00"
Cisayong,0,0,,"9,00","15,00"
Sukahening,"24,00","2,0",,"47,00","24,00"
Rajapolah,0,0,,"3,25","3,25"
Jamanis,0,0,,0,0
Ciawi,0,0,,"13,00","13,00"
Kadipaten,"49,00","45,00",,"37,00","32,00"
Pagerageung,"3,00","13,00",,"2,00","7,00"
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,221,"208,80",,"387,95","420,05"
